date_fomc,brw_2020,brw_2024,,corr
10/24/12,-0.0292267,-0.032185659,,
12/12/12,-0.0449777,-0.047822967,,
1/30/13,-0.0223208,-0.023995325,,
3/20/13,-0.0338093,-0.036265641,,
5/1/13,0.0316542,0.033158518,,
6/19/13,0.0516941,0.064015731,,
7/31/13,0.0243002,0.02640423,,
9/18/13,-0.0499101,-0.06159633,,
10/30/13,-0.007441,-0.006842978,,
12/18/13,-0.0061906,-0.005599519,,
1/29/14,0.0116536,0.010612656,,
3/19/14,0.0974278,0.110944256,,
4/30/14,-0.0094473,-0.011768737,,
6/18/14,-0.0170654,-0.021007074,,
7/30/14,-0.0262448,-0.026631275,,
9/17/14,0.0147312,0.016601879,,
10/29/14,0.0720776,0.081171639,,
12/17/14,0.0211809,0.025993371,,
1/28/15,0.0243021,0.024486547,,
3/18/15,-0.036584,-0.043516438,,
4/29/15,-0.040165,-0.042277202,,
6/17/15,-0.0734485,-0.082104772,,
7/29/15,-0.0049794,-0.004464651,,
9/17/15,-0.044471,-0.050438896,,
10/28/15,0.0632791,0.070513211,,
12/16/15,0.0205194,0.023574356,,
1/27/16,-0.0158667,-0.017693961,,
3/16/16,-0.0743356,-0.083407529,,
4/27/16,0.0023269,-0.000643042,,
6/15/16,-0.0325347,-0.03623436,,
7/27/16,0.010923,0.011493216,,
9/21/16,0.0242009,0.027177686,,
11/2/16,-0.0136485,-0.015482442,,
12/14/16,0.0796401,0.089155473,,
2/1/17,0.001817,0.002693985,,
3/15/17,-0.0228038,-0.027242566,,
5/3/17,0.0348748,0.040073439,,
6/14/17,0.0349611,0.037206471,,
7/26/17,-0.0287343,-0.032979246,,
9/20/17,0.0321512,0.036724683,,
11/1/17,0.0271779,0.029562719,,
12/13/17,-0.010656,-0.012879122,,
1/31/18,0.0430283,0.04673209,,
3/21/18,-0.0115837,-0.013027991,,
5/2/18,-0.0210374,-0.023760647,,
6/13/18,0.0130099,0.014972096,,
8/1/18,-0.0146746,-0.015172222,,
9/26/18,0.0064654,0.005902233,,
11/8/18,0.0215585,0.024261326,,
12/19/18,0.0365571,0.038647745,,
1/30/19,-0.0540896,-0.060521733,,
3/20/19,-0.0226554,-0.026905889,,
5/1/19,0.0406881,0.045575455,,
6/19/19,-0.0511383,-0.055606503,,
